filepath,label
wood satyr\077.jpg,wood satyr
monarch\001.jpg,monarch
banded peacock\011.jpg,banded peacock
banded peacock\042.jpg,banded peacock
american snoot\054.jpg,american snoot
skipper\080.jpg,skipper
an 88\047.jpg,an 88
viceroy\032.jpg,viceroy
metalmark\036.jpg,metalmark
straited queen\000.jpg,straited queen
pine white\046.jpg,pine white
chestnut\015.jpg,chestnut
grey hairstreak\042.jpg,grey hairstreak
zebra long wing\082.jpg,zebra long wing
pine white\066.jpg,pine white
silver spot skipper\050.jpg,silver spot skipper
red spotted purple\059.jpg,red spotted purple
southern dogface\001.jpg,southern dogface
sixspot burnet\015.jpg,sixspot burnet
morning cloak\052.jpg,morning cloak
orchard swallow\012.jpg,orchard swallow
cabbage white\021.jpg,cabbage white
southern dogface\049.jpg,southern dogface
an 88\048.jpg,an 88
scarce swallow\001.jpg,scarce swallow
red spotted purple\054.jpg,red spotted purple
malachite\067.jpg,malachite
painted lady\040.jpg,painted lady
southern dogface\068.jpg,southern dogface
american snoot\053.jpg,american snoot
purple hairstreak\029.jpg,purple hairstreak
skipper\074.jpg,skipper
copper tail\040.jpg,copper tail
clodius parnassian\044.jpg,clodius parnassian
red spotted purple\069.jpg,red spotted purple
copper tail\119.jpg,copper tail
crecent\058.jpg,crecent
beckers white\037.jpg,beckers white
crimson patch\064.jpg,crimson patch
sixspot burnet\044.jpg,sixspot burnet
skipper\022.jpg,skipper
copper tail\035.jpg,copper tail
chestnut\028.jpg,chestnut
chestnut\046.jpg,chestnut
clouded sulphur\068.jpg,clouded sulphur
southern dogface\039.jpg,southern dogface
indra swallow\020.jpg,indra swallow
pine white\060.jpg,pine white
orange tip\008.jpg,orange tip
wood satyr\017.jpg,wood satyr
orchard swallow\021.jpg,orchard swallow
malachite\014.jpg,malachite
question mark\027.jpg,question mark
american snoot\060.jpg,american snoot
scarce swallow\103.jpg,scarce swallow
sootywing\013.jpg,sootywing
straited queen\069.jpg,straited queen
grey hairstreak\057.jpg,grey hairstreak
viceroy\003.jpg,viceroy
large marble\020.jpg,large marble
question mark\083.jpg,question mark
beckers white\053.jpg,beckers white
large marble\035.jpg,large marble
purple hairstreak\025.jpg,purple hairstreak
copper tail\120.jpg,copper tail
orange oakleaf\066.jpg,orange oakleaf
clouded sulphur\072.jpg,clouded sulphur
paper kite\037.jpg,paper kite
mangrove skipper\024.jpg,mangrove skipper
viceroy\073.jpg,viceroy
red admiral\057.jpg,red admiral
question mark\002.jpg,question mark
ulyses\047.jpg,ulyses
yellow swallow tail\018.jpg,yellow swallow tail
beckers white\096.jpg,beckers white
orchard swallow\018.jpg,orchard swallow
crimson patch\057.jpg,crimson patch
scarce swallow\090.jpg,scarce swallow
two barred flasher\016.jpg,two barred flasher
red admiral\015.jpg,red admiral
banded peacock\045.jpg,banded peacock
julia\069.jpg,julia
skipper\007.jpg,skipper
great eggfly\019.jpg,great eggfly
eastern coma\058.jpg,eastern coma
orange tip\000.jpg,orange tip
scarce swallow\082.jpg,scarce swallow
banded peacock\057.jpg,banded peacock
purple hairstreak\045.jpg,purple hairstreak
purple hairstreak\041.jpg,purple hairstreak
copper tail\059.jpg,copper tail
great eggfly\041.jpg,great eggfly
grey hairstreak\004.jpg,grey hairstreak
wood satyr\021.jpg,wood satyr
orange tip\066.jpg,orange tip
american snoot\024.jpg,american snoot
painted lady\056.jpg,painted lady
great eggfly\077.jpg,great eggfly
eastern coma\049.jpg,eastern coma
question mark\066.jpg,question mark
eastern coma\005.jpg,eastern coma
gold banded\060.jpg,gold banded
an 88\031.jpg,an 88
beckers white\057.jpg,beckers white
large marble\021.jpg,large marble
wood satyr\018.jpg,wood satyr
american snoot\030.jpg,american snoot
question mark\021.jpg,question mark
mangrove skipper\013.jpg,mangrove skipper
orange oakleaf\015.jpg,orange oakleaf
orange tip\017.jpg,orange tip
sixspot burnet\083.jpg,sixspot burnet
copper tail\000.jpg,copper tail
purple hairstreak\031.jpg,purple hairstreak
crimson patch\054.jpg,crimson patch
large marble\030.jpg,large marble
red admiral\046.jpg,red admiral
black hairstreak\023.jpg,black hairstreak
chestnut\021.jpg,chestnut
clouded sulphur\071.jpg,clouded sulphur
peacock\078.jpg,peacock
copper tail\070.jpg,copper tail
painted lady\029.jpg,painted lady
metalmark\045.jpg,metalmark
beckers white\075.jpg,beckers white
southern dogface\003.jpg,southern dogface
chestnut\025.jpg,chestnut
clodius parnassian\056.jpg,clodius parnassian
crecent\053.jpg,crecent
paper kite\008.jpg,paper kite
copper tail\019.jpg,copper tail
pine white\077.jpg,pine white
grey hairstreak\048.jpg,grey hairstreak
wood satyr\057.jpg,wood satyr
pipevine swallow\052.jpg,pipevine swallow
ulyses\022.jpg,ulyses
scarce swallow\012.jpg,scarce swallow
julia\035.jpg,julia
beckers white\065.jpg,beckers white
orange oakleaf\032.jpg,orange oakleaf
mangrove skipper\057.jpg,mangrove skipper
two barred flasher\032.jpg,two barred flasher
morning cloak\016.jpg,morning cloak
mangrove skipper\073.jpg,mangrove skipper
viceroy\007.jpg,viceroy
black hairstreak\044.jpg,black hairstreak
zebra long wing\077.jpg,zebra long wing
zebra long wing\033.jpg,zebra long wing
julia\036.jpg,julia
mangrove skipper\064.jpg,mangrove skipper
great eggfly\010.jpg,great eggfly
adonis\013.jpg,adonis
red spotted purple\077.jpg,red spotted purple
scarce swallow\034.jpg,scarce swallow
eastern coma\010.jpg,eastern coma
viceroy\077.jpg,viceroy
scarce swallow\002.jpg,scarce swallow
american snoot\065.jpg,american snoot
metalmark\017.jpg,metalmark
purple hairstreak\050.jpg,purple hairstreak
orange oakleaf\003.jpg,orange oakleaf
grey hairstreak\063.jpg,grey hairstreak
indra swallow\098.jpg,indra swallow
monarch\041.jpg,monarch
morning cloak\034.jpg,morning cloak
straited queen\084.jpg,straited queen
an 88\011.jpg,an 88
straited queen\035.jpg,straited queen
purple hairstreak\088.jpg,purple hairstreak
morning cloak\014.jpg,morning cloak
red spotted purple\022.jpg,red spotted purple
viceroy\033.jpg,viceroy
viceroy\058.jpg,viceroy
silver spot skipper\019.jpg,silver spot skipper
straited queen\029.jpg,straited queen
gold banded\012.jpg,gold banded
sootywing\046.jpg,sootywing
sootywing\111.jpg,sootywing
silver spot skipper\041.jpg,silver spot skipper
zebra long wing\085.jpg,zebra long wing
black hairstreak\004.jpg,black hairstreak
metalmark\094.jpg,metalmark
mangrove skipper\022.jpg,mangrove skipper
painted lady\043.jpg,painted lady
crecent\006.jpg,crecent
zebra long wing\069.jpg,zebra long wing
paper kite\012.jpg,paper kite
black hairstreak\069.jpg,black hairstreak
eastern coma\081.jpg,eastern coma
julia\041.jpg,julia
an 88\073.jpg,an 88
scarce swallow\023.jpg,scarce swallow
copper tail\118.jpg,copper tail
purple hairstreak\074.jpg,purple hairstreak
ulyses\058.jpg,ulyses
american snoot\070.jpg,american snoot
eastern coma\023.jpg,eastern coma
grey hairstreak\050.jpg,grey hairstreak
yellow swallow tail\054.jpg,yellow swallow tail
beckers white\030.jpg,beckers white
monarch\006.jpg,monarch
beckers white\098.jpg,beckers white
purple hairstreak\058.jpg,purple hairstreak
adonis\040.jpg,adonis
sixspot burnet\064.jpg,sixspot burnet
copper tail\048.jpg,copper tail
paper kite\072.jpg,paper kite
malachite\016.jpg,malachite
wood satyr\043.jpg,wood satyr
copper tail\096.jpg,copper tail
eastern coma\067.jpg,eastern coma
scarce swallow\097.jpg,scarce swallow
pipevine swallow\058.jpg,pipevine swallow
julia\055.jpg,julia
indra swallow\030.jpg,indra swallow
cabbage white\006.jpg,cabbage white
scarce swallow\009.jpg,scarce swallow
skipper\044.jpg,skipper
zebra long wing\023.jpg,zebra long wing
american snoot\008.jpg,american snoot
monarch\035.jpg,monarch
crimson patch\083.jpg,crimson patch
clouded sulphur\076.jpg,clouded sulphur
chestnut\022.jpg,chestnut
american snoot\077.jpg,american snoot
malachite\032.jpg,malachite
painted lady\098.jpg,painted lady
julia\080.jpg,julia
monarch\048.jpg,monarch
silver spot skipper\073.jpg,silver spot skipper
clouded sulphur\016.jpg,clouded sulphur
cabbage white\058.jpg,cabbage white
red admiral\032.jpg,red admiral
great eggfly\079.jpg,great eggfly
ulyses\060.jpg,ulyses
purple hairstreak\015.jpg,purple hairstreak
zebra long wing\044.jpg,zebra long wing
morning cloak\022.jpg,morning cloak
copper tail\101.jpg,copper tail
banded peacock\023.jpg,banded peacock
pine white\000.jpg,pine white
viceroy\072.jpg,viceroy
adonis\014.jpg,adonis
red admiral\023.jpg,red admiral
orange tip\024.jpg,orange tip
southern dogface\084.jpg,southern dogface
banded peacock\004.jpg,banded peacock
paper kite\070.jpg,paper kite
question mark\081.jpg,question mark
crimson patch\007.jpg,crimson patch
sixspot burnet\055.jpg,sixspot burnet
orchard swallow\007.jpg,orchard swallow
pipevine swallow\068.jpg,pipevine swallow
cabbage white\078.jpg,cabbage white
morning cloak\006.jpg,morning cloak
two barred flasher\070.jpg,two barred flasher
straited queen\051.jpg,straited queen
two barred flasher\024.jpg,two barred flasher
metalmark\006.jpg,metalmark
mangrove skipper\045.jpg,mangrove skipper
clodius parnassian\043.jpg,clodius parnassian
viceroy\078.jpg,viceroy
zebra long wing\038.jpg,zebra long wing
banded peacock\052.jpg,banded peacock
orchard swallow\061.jpg,orchard swallow
orange oakleaf\070.jpg,orange oakleaf
red spotted purple\004.jpg,red spotted purple
metalmark\060.jpg,metalmark
clouded sulphur\074.jpg,clouded sulphur
black hairstreak\031.jpg,black hairstreak
silver spot skipper\042.jpg,silver spot skipper
zebra long wing\041.jpg,zebra long wing
zebra long wing\084.jpg,zebra long wing
crimson patch\010.jpg,crimson patch
peacock\071.jpg,peacock
american snoot\052.jpg,american snoot
red spotted purple\063.jpg,red spotted purple
orange oakleaf\068.jpg,orange oakleaf
banded peacock\015.jpg,banded peacock
two barred flasher\050.jpg,two barred flasher
indra swallow\049.jpg,indra swallow
zebra long wing\096.jpg,zebra long wing
scarce swallow\007.jpg,scarce swallow
southern dogface\032.jpg,southern dogface
yellow swallow tail\019.jpg,yellow swallow tail
monarch\014.jpg,monarch
red spotted purple\011.jpg,red spotted purple
crecent\032.jpg,crecent
adonis\048.jpg,adonis
adonis\064.jpg,adonis
mangrove skipper\042.jpg,mangrove skipper
gold banded\071.jpg,gold banded
question mark\089.jpg,question mark
pine white\042.jpg,pine white
sootywing\033.jpg,sootywing
clodius parnassian\062.jpg,clodius parnassian
viceroy\065.jpg,viceroy
an 88\045.jpg,an 88
viceroy\054.jpg,viceroy
wood satyr\087.jpg,wood satyr
grey hairstreak\018.jpg,grey hairstreak
american snoot\057.jpg,american snoot
chestnut\047.jpg,chestnut
clodius parnassian\013.jpg,clodius parnassian
large marble\042.jpg,large marble
clouded sulphur\048.jpg,clouded sulphur
chestnut\054.jpg,chestnut
cabbage white\031.jpg,cabbage white
zebra long wing\017.jpg,zebra long wing
eastern coma\080.jpg,eastern coma
beckers white\018.jpg,beckers white
wood satyr\036.jpg,wood satyr
morning cloak\055.jpg,morning cloak
sixspot burnet\041.jpg,sixspot burnet
chestnut\014.jpg,chestnut
monarch\010.jpg,monarch
gold banded\016.jpg,gold banded
copper tail\057.jpg,copper tail
morning cloak\070.jpg,morning cloak
wood satyr\085.jpg,wood satyr
clodius parnassian\046.jpg,clodius parnassian
grey hairstreak\002.jpg,grey hairstreak
cabbage white\014.jpg,cabbage white
scarce swallow\035.jpg,scarce swallow
monarch\011.jpg,monarch
red spotted purple\013.jpg,red spotted purple
silver spot skipper\040.jpg,silver spot skipper
julia\006.jpg,julia
grey hairstreak\071.jpg,grey hairstreak
gold banded\026.jpg,gold banded
pine white\014.jpg,pine white
crimson patch\070.jpg,crimson patch
crecent\021.jpg,crecent
copper tail\043.jpg,copper tail
malachite\070.jpg,malachite
paper kite\049.jpg,paper kite
american snoot\016.jpg,american snoot
skipper\042.jpg,skipper
pine white\002.jpg,pine white
adonis\060.jpg,adonis
eastern coma\029.jpg,eastern coma
black hairstreak\053.jpg,black hairstreak
pine white\050.jpg,pine white
julia\048.jpg,julia
orange oakleaf\087.jpg,orange oakleaf
morning cloak\074.jpg,morning cloak
american snoot\036.jpg,american snoot
banded peacock\074.jpg,banded peacock
red spotted purple\002.jpg,red spotted purple
question mark\075.jpg,question mark
an 88\049.jpg,an 88
peacock\081.jpg,peacock
indra swallow\023.jpg,indra swallow
clouded sulphur\060.jpg,clouded sulphur
two barred flasher\029.jpg,two barred flasher
scarce swallow\011.jpg,scarce swallow
mangrove skipper\029.jpg,mangrove skipper
mangrove skipper\020.jpg,mangrove skipper
beckers white\083.jpg,beckers white
clouded sulphur\069.jpg,clouded sulphur
julia\086.jpg,julia
question mark\057.jpg,question mark
skipper\090.jpg,skipper
two barred flasher\026.jpg,two barred flasher
crimson patch\009.jpg,crimson patch
scarce swallow\006.jpg,scarce swallow
orange tip\051.jpg,orange tip
clodius parnassian\007.jpg,clodius parnassian
an 88\008.jpg,an 88
zebra long wing\010.jpg,zebra long wing
cabbage white\060.jpg,cabbage white
yellow swallow tail\092.jpg,yellow swallow tail
pine white\071.jpg,pine white
american snoot\050.jpg,american snoot
indra swallow\012.jpg,indra swallow
gold banded\003.jpg,gold banded
yellow swallow tail\096.jpg,yellow swallow tail
indra swallow\080.jpg,indra swallow
sootywing\103.jpg,sootywing
painted lady\066.jpg,painted lady
large marble\019.jpg,large marble
peacock\044.jpg,peacock
orange tip\023.jpg,orange tip
an 88\030.jpg,an 88
julia\017.jpg,julia
sixspot burnet\009.jpg,sixspot burnet
orange oakleaf\054.jpg,orange oakleaf
skipper\111.jpg,skipper
straited queen\061.jpg,straited queen
viceroy\025.jpg,viceroy
great eggfly\059.jpg,great eggfly
clodius parnassian\011.jpg,clodius parnassian
two barred flasher\043.jpg,two barred flasher
red admiral\047.jpg,red admiral
chestnut\051.jpg,chestnut
purple hairstreak\056.jpg,purple hairstreak
paper kite\000.jpg,paper kite
beckers white\029.jpg,beckers white
pipevine swallow\082.jpg,pipevine swallow
southern dogface\074.jpg,southern dogface
beckers white\036.jpg,beckers white
banded peacock\079.jpg,banded peacock
grey hairstreak\035.jpg,grey hairstreak
skipper\048.jpg,skipper
pine white\057.jpg,pine white
clodius parnassian\034.jpg,clodius parnassian
banded peacock\028.jpg,banded peacock
metalmark\014.jpg,metalmark
julia\083.jpg,julia
sootywing\066.jpg,sootywing
gold banded\074.jpg,gold banded
straited queen\065.jpg,straited queen
beckers white\009.jpg,beckers white
peacock\085.jpg,peacock
wood satyr\044.jpg,wood satyr
pipevine swallow\040.jpg,pipevine swallow
two barred flasher\014.jpg,two barred flasher
cabbage white\017.jpg,cabbage white
morning cloak\079.jpg,morning cloak
eastern coma\045.jpg,eastern coma
pipevine swallow\032.jpg,pipevine swallow
paper kite\007.jpg,paper kite
black hairstreak\026.jpg,black hairstreak
painted lady\022.jpg,painted lady
cabbage white\034.jpg,cabbage white
morning cloak\056.jpg,morning cloak
banded peacock\071.jpg,banded peacock
pine white\034.jpg,pine white
orange tip\016.jpg,orange tip
sixspot burnet\029.jpg,sixspot burnet
straited queen\039.jpg,straited queen
zebra long wing\095.jpg,zebra long wing
metalmark\026.jpg,metalmark
mangrove skipper\063.jpg,mangrove skipper
sootywing\043.jpg,sootywing
ulyses\028.jpg,ulyses
eastern coma\018.jpg,eastern coma
copper tail\088.jpg,copper tail
an 88\015.jpg,an 88
beckers white\039.jpg,beckers white
wood satyr\042.jpg,wood satyr
clouded sulphur\042.jpg,clouded sulphur
beckers white\086.jpg,beckers white
ulyses\059.jpg,ulyses
yellow swallow tail\089.jpg,yellow swallow tail
sixspot burnet\030.jpg,sixspot burnet
beckers white\082.jpg,beckers white
sootywing\100.jpg,sootywing
pipevine swallow\017.jpg,pipevine swallow
grey hairstreak\062.jpg,grey hairstreak
red spotted purple\014.jpg,red spotted purple
pipevine swallow\007.jpg,pipevine swallow
adonis\035.jpg,adonis
metalmark\032.jpg,metalmark
straited queen\082.jpg,straited queen
pine white\078.jpg,pine white
viceroy\021.jpg,viceroy
beckers white\045.jpg,beckers white
viceroy\013.jpg,viceroy
chestnut\037.jpg,chestnut
yellow swallow tail\080.jpg,yellow swallow tail
copper tail\100.jpg,copper tail
american snoot\009.jpg,american snoot
metalmark\087.jpg,metalmark
sootywing\009.jpg,sootywing
banded peacock\050.jpg,banded peacock
southern dogface\082.jpg,southern dogface
wood satyr\072.jpg,wood satyr
metalmark\040.jpg,metalmark
american snoot\086.jpg,american snoot
gold banded\065.jpg,gold banded
ulyses\035.jpg,ulyses
red admiral\063.jpg,red admiral
chestnut\055.jpg,chestnut
cabbage white\070.jpg,cabbage white
clouded sulphur\045.jpg,clouded sulphur
wood satyr\006.jpg,wood satyr
silver spot skipper\058.jpg,silver spot skipper
purple hairstreak\021.jpg,purple hairstreak
red spotted purple\052.jpg,red spotted purple
crecent\005.jpg,crecent
julia\070.jpg,julia
sixspot burnet\037.jpg,sixspot burnet
scarce swallow\039.jpg,scarce swallow
sootywing\088.jpg,sootywing
question mark\053.jpg,question mark
copper tail\076.jpg,copper tail
great eggfly\017.jpg,great eggfly
ulyses\046.jpg,ulyses
copper tail\099.jpg,copper tail
crecent\052.jpg,crecent
orange oakleaf\056.jpg,orange oakleaf
straited queen\079.jpg,straited queen
pine white\075.jpg,pine white
painted lady\018.jpg,painted lady
silver spot skipper\024.jpg,silver spot skipper
metalmark\042.jpg,metalmark
large marble\071.jpg,large marble
pine white\076.jpg,pine white
pine white\005.jpg,pine white
american snoot\035.jpg,american snoot
indra swallow\066.jpg,indra swallow
beckers white\061.jpg,beckers white
malachite\061.jpg,malachite
metalmark\082.jpg,metalmark
peacock\056.jpg,peacock
an 88\061.jpg,an 88
paper kite\043.jpg,paper kite
question mark\022.jpg,question mark
scarce swallow\075.jpg,scarce swallow
indra swallow\000.jpg,indra swallow
crecent\004.jpg,crecent
pipevine swallow\055.jpg,pipevine swallow
gold banded\048.jpg,gold banded
american snoot\059.jpg,american snoot
crecent\056.jpg,crecent
beckers white\048.jpg,beckers white
straited queen\002.jpg,straited queen
wood satyr\052.jpg,wood satyr
copper tail\039.jpg,copper tail
sixspot burnet\002.jpg,sixspot burnet
yellow swallow tail\094.jpg,yellow swallow tail
black hairstreak\077.jpg,black hairstreak
sootywing\030.jpg,sootywing
copper tail\033.jpg,copper tail
red admiral\024.jpg,red admiral
morning cloak\053.jpg,morning cloak
sootywing\016.jpg,sootywing
copper tail\010.jpg,copper tail
monarch\053.jpg,monarch
two barred flasher\042.jpg,two barred flasher
adonis\043.jpg,adonis
large marble\034.jpg,large marble
orchard swallow\019.jpg,orchard swallow
black hairstreak\058.jpg,black hairstreak
sootywing\069.jpg,sootywing
ulyses\043.jpg,ulyses
orange tip\079.jpg,orange tip
great eggfly\051.jpg,great eggfly
yellow swallow tail\021.jpg,yellow swallow tail
scarce swallow\072.jpg,scarce swallow
gold banded\058.jpg,gold banded
paper kite\035.jpg,paper kite
red admiral\025.jpg,red admiral
painted lady\076.jpg,painted lady
red admiral\042.jpg,red admiral
orange tip\058.jpg,orange tip
question mark\048.jpg,question mark
sixspot burnet\054.jpg,sixspot burnet
an 88\039.jpg,an 88
american snoot\083.jpg,american snoot
question mark\063.jpg,question mark
peacock\054.jpg,peacock
two barred flasher\046.jpg,two barred flasher
banded peacock\073.jpg,banded peacock
sootywing\047.jpg,sootywing
indra swallow\052.jpg,indra swallow
viceroy\012.jpg,viceroy
orange tip\031.jpg,orange tip
clodius parnassian\049.jpg,clodius parnassian
pipevine swallow\076.jpg,pipevine swallow
skipper\051.jpg,skipper
adonis\053.jpg,adonis
yellow swallow tail\055.jpg,yellow swallow tail
clodius parnassian\054.jpg,clodius parnassian
malachite\033.jpg,malachite
great eggfly\097.jpg,great eggfly
skipper\057.jpg,skipper
viceroy\030.jpg,viceroy
beckers white\054.jpg,beckers white
paper kite\018.jpg,paper kite
copper tail\097.jpg,copper tail
malachite\021.jpg,malachite
red admiral\041.jpg,red admiral
eastern coma\004.jpg,eastern coma
gold banded\061.jpg,gold banded
wood satyr\067.jpg,wood satyr
malachite\041.jpg,malachite
metalmark\070.jpg,metalmark
red admiral\028.jpg,red admiral
pipevine swallow\010.jpg,pipevine swallow
gold banded\051.jpg,gold banded
gold banded\030.jpg,gold banded
scarce swallow\024.jpg,scarce swallow
pipevine swallow\025.jpg,pipevine swallow
scarce swallow\076.jpg,scarce swallow
orange tip\005.jpg,orange tip
black hairstreak\056.jpg,black hairstreak
julia\077.jpg,julia
mangrove skipper\046.jpg,mangrove skipper
yellow swallow tail\001.jpg,yellow swallow tail
peacock\065.jpg,peacock
straited queen\047.jpg,straited queen
sootywing\068.jpg,sootywing
malachite\037.jpg,malachite
peacock\053.jpg,peacock
clouded sulphur\018.jpg,clouded sulphur
scarce swallow\117.jpg,scarce swallow
orange oakleaf\035.jpg,orange oakleaf
orchard swallow\059.jpg,orchard swallow
gold banded\005.jpg,gold banded
orange oakleaf\006.jpg,orange oakleaf
question mark\046.jpg,question mark
silver spot skipper\014.jpg,silver spot skipper
silver spot skipper\076.jpg,silver spot skipper
copper tail\084.jpg,copper tail
clodius parnassian\027.jpg,clodius parnassian
skipper\026.jpg,skipper
indra swallow\092.jpg,indra swallow
morning cloak\048.jpg,morning cloak
grey hairstreak\028.jpg,grey hairstreak
purple hairstreak\007.jpg,purple hairstreak
painted lady\044.jpg,painted lady
pine white\032.jpg,pine white
scarce swallow\032.jpg,scarce swallow
straited queen\064.jpg,straited queen
red spotted purple\006.jpg,red spotted purple
sixspot burnet\053.jpg,sixspot burnet
sootywing\055.jpg,sootywing
skipper\038.jpg,skipper
orange oakleaf\038.jpg,orange oakleaf
scarce swallow\004.jpg,scarce swallow
julia\066.jpg,julia
two barred flasher\006.jpg,two barred flasher
purple hairstreak\004.jpg,purple hairstreak
pine white\055.jpg,pine white
sixspot burnet\011.jpg,sixspot burnet
wood satyr\037.jpg,wood satyr
orchard swallow\038.jpg,orchard swallow
orange oakleaf\074.jpg,orange oakleaf
scarce swallow\067.jpg,scarce swallow
skipper\084.jpg,skipper
silver spot skipper\052.jpg,silver spot skipper
peacock\027.jpg,peacock
purple hairstreak\065.jpg,purple hairstreak
painted lady\085.jpg,painted lady
ulyses\054.jpg,ulyses
crecent\028.jpg,crecent
skipper\059.jpg,skipper
an 88\057.jpg,an 88
sootywing\035.jpg,sootywing
orange oakleaf\078.jpg,orange oakleaf
painted lady\080.jpg,painted lady
banded peacock\069.jpg,banded peacock
sootywing\032.jpg,sootywing
indra swallow\050.jpg,indra swallow
clodius parnassian\057.jpg,clodius parnassian
pipevine swallow\067.jpg,pipevine swallow
viceroy\040.jpg,viceroy
grey hairstreak\010.jpg,grey hairstreak
indra swallow\077.jpg,indra swallow
skipper\115.jpg,skipper
chestnut\071.jpg,chestnut
scarce swallow\064.jpg,scarce swallow
skipper\006.jpg,skipper
metalmark\077.jpg,metalmark
adonis\003.jpg,adonis
silver spot skipper\082.jpg,silver spot skipper
indra swallow\082.jpg,indra swallow
orange oakleaf\060.jpg,orange oakleaf
orange oakleaf\055.jpg,orange oakleaf
banded peacock\003.jpg,banded peacock
beckers white\019.jpg,beckers white
sootywing\064.jpg,sootywing
chestnut\004.jpg,chestnut
great eggfly\032.jpg,great eggfly
sootywing\002.jpg,sootywing
peacock\047.jpg,peacock
copper tail\031.jpg,copper tail
cabbage white\077.jpg,cabbage white
julia\071.jpg,julia
orange tip\064.jpg,orange tip
clodius parnassian\059.jpg,clodius parnassian
large marble\033.jpg,large marble
skipper\113.jpg,skipper
julia\002.jpg,julia
indra swallow\094.jpg,indra swallow
sixspot burnet\001.jpg,sixspot burnet
malachite\054.jpg,malachite
sootywing\113.jpg,sootywing
red admiral\027.jpg,red admiral
chestnut\017.jpg,chestnut
banded peacock\009.jpg,banded peacock
copper tail\030.jpg,copper tail
copper tail\051.jpg,copper tail
indra swallow\009.jpg,indra swallow
monarch\034.jpg,monarch
straited queen\050.jpg,straited queen
yellow swallow tail\025.jpg,yellow swallow tail
banded peacock\005.jpg,banded peacock
two barred flasher\063.jpg,two barred flasher
black hairstreak\076.jpg,black hairstreak
red admiral\033.jpg,red admiral
chestnut\061.jpg,chestnut
beckers white\101.jpg,beckers white
southern dogface\016.jpg,southern dogface
great eggfly\044.jpg,great eggfly
chestnut\068.jpg,chestnut
silver spot skipper\065.jpg,silver spot skipper
sootywing\071.jpg,sootywing
crecent\038.jpg,crecent
orange oakleaf\047.jpg,orange oakleaf
purple hairstreak\075.jpg,purple hairstreak
two barred flasher\056.jpg,two barred flasher
skipper\067.jpg,skipper
question mark\070.jpg,question mark
adonis\016.jpg,adonis
copper tail\116.jpg,copper tail
morning cloak\063.jpg,morning cloak
painted lady\083.jpg,painted lady
monarch\004.jpg,monarch
orchard swallow\001.jpg,orchard swallow
two barred flasher\065.jpg,two barred flasher
red admiral\055.jpg,red admiral
painted lady\087.jpg,painted lady
orchard swallow\056.jpg,orchard swallow
pipevine swallow\033.jpg,pipevine swallow
straited queen\085.jpg,straited queen
question mark\054.jpg,question mark
skipper\101.jpg,skipper
two barred flasher\012.jpg,two barred flasher
american snoot\073.jpg,american snoot
red spotted purple\027.jpg,red spotted purple
viceroy\031.jpg,viceroy
metalmark\069.jpg,metalmark
crimson patch\037.jpg,crimson patch
sixspot burnet\063.jpg,sixspot burnet
an 88\079.jpg,an 88
clouded sulphur\039.jpg,clouded sulphur
gold banded\076.jpg,gold banded
purple hairstreak\030.jpg,purple hairstreak
sootywing\038.jpg,sootywing
question mark\020.jpg,question mark
cabbage white\030.jpg,cabbage white
copper tail\045.jpg,copper tail
cabbage white\068.jpg,cabbage white
viceroy\002.jpg,viceroy
pipevine swallow\041.jpg,pipevine swallow
paper kite\041.jpg,paper kite
clouded sulphur\054.jpg,clouded sulphur
question mark\033.jpg,question mark
indra swallow\029.jpg,indra swallow
sootywing\007.jpg,sootywing
orchard swallow\010.jpg,orchard swallow
question mark\073.jpg,question mark
american snoot\076.jpg,american snoot
purple hairstreak\035.jpg,purple hairstreak
orange oakleaf\011.jpg,orange oakleaf
red spotted purple\024.jpg,red spotted purple
banded peacock\059.jpg,banded peacock
